gender,age,income,year_joined,received-to-viewed-ratio,received-to-completed-ratio,average_transaction_value,number_of_transactions,predicted_cluster
143,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0
3,,,,,,,,
F,,,,,,,,
76,,,,,,,,
,60.2027972027972,87097.9020979021,2016.4545454545455,78.54312354312354,69.11421911421911,134.61060540605473,7.223776223776224,5.0
,15.051348468230506,16032.67556300749,1.161150914766464,22.247423522703876,27.461599448689974,58.01850599104234,2.878819154483213,0.0
,18.0,45000.0,2013.0,0.0,0.0,78.44500000000001,2.0,5.0
,52.0,74500.0,2016.0,66.66666666666666,50.0,99.55562499999999,5.0,5.0
,60.0,87000.0,2017.0,80.0,75.0,118.13625,7.0,5.0
,69.0,98000.0,2017.0,100.0,100.0,146.06175000000002,9.0,5.0
,97.0,119000.0,2018.0,100.0,100.0,451.46999999999997,16.0,5.0
