gender,age,income,year_joined,received-to-viewed-ratio,received-to-completed-ratio,average_transaction_value,number_of_transactions,predicted_cluster
2778,2778.0,2778.0,2778.0,2778.0,2778.0,2778.0,2778.0,2778.0
3,,,,,,,,
M,,,,,,,,
2187,,,,,,,,
,44.92080633549316,49095.75233981282,2017.4344852411807,54.51223902087833,12.240220782337412,4.2352844691587865,5.675665946724262,6.0
,17.123022609185796,12850.383177684907,0.6335296786743404,20.546125433036547,16.9978795493385,3.687575221536892,2.676184664125273,0.0
,18.0,30000.0,2015.0,0.0,0.0,0.15,1.0,6.0
,30.0,38000.0,2017.0,40.0,0.0,2.39,4.0,6.0
,44.0,47000.0,2018.0,50.0,0.0,3.1449999999999996,5.0,6.0
,58.0,59000.0,2018.0,66.66666666666666,25.0,4.293714285714286,7.0,6.0
,98.0,86000.0,2018.0,100.0,100.0,35.01,18.0,6.0
