gender,age,income,year_joined,received-to-viewed-ratio,received-to-completed-ratio,average_transaction_value,number_of_transactions,predicted_cluster
3053,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0,3053.0
3,,,,,,,,
F,,,,,,,,
1558,,,,,,,,
,62.395348837209305,77465.11627906977,2016.0337373075663,92.91352767769408,78.75805218910361,21.42621306010153,9.030461840812317,0.0
,13.059168379065387,15608.701563862965,1.0242033405234559,11.438244002849709,18.64566113085281,8.340848814966007,3.2280190765929677,0.0
,21.0,32000.0,2013.0,50.0,0.0,2.6364285714285716,1.0,0.0
,53.0,66000.0,2015.0,83.33333333333334,66.66666666666666,16.968333333333334,7.0,0.0
,62.0,77000.0,2016.0,100.0,80.0,20.590000000000003,9.0,0.0
,71.0,89000.0,2017.0,100.0,100.0,23.94625,11.0,0.0
,101.0,120000.0,2018.0,100.0,100.0,79.3623076923077,23.0,0.0
